"id"	"dataset"	"tissue"	"marker"	"manual_anno"	"manual_broadtype"	"old_manual_CLname"	"old_manual_CLID"	"marker_0"	"celltype_0_anno"	"celltype_0_CLID"	"celltype_0_CLname"	"marker_0.2"	"celltype_0.2_anno"	"celltype_0.2_CLID"	"celltype_0.2_CLname"	"marker_0.4"	"celltype_0.4_anno"	"celltype_0.4_CLID"	"celltype_0.4_CLname"	"marker_0.6"	"celltype_0.6_anno"	"celltype_0.6_CLID"	"celltype_0.6_CLname"	"marker_0.8"	"celltype_0.8_anno"	"celltype_0.8_CLID"	"celltype_0.8_CLname"	"celltype_0.2_broadtype"	"celltype_0.2_score"	"celltype_0.4_broadtype"	"celltype_0.4_score"	"celltype_0.6_broadtype"	"celltype_0.6_score"	"celltype_0.8_broadtype"	"celltype_0.8_score"	"celltype_0_broadtype"	"celltype_0_score"
269	"Azimuth"	"Adipose"	"MECOM, PTRB, VWF, ANO2, BTNL9, LDB2, ADGRL4, PTPRM, JAM2, CADM2"	"Endothelial"	"endothelial cell"	"endothelial cell"	"CL:0000115"	" CADM2, VWF, ADGRL4,MECOM, PTRB, LDB2, PTPRM, ANO2, BTNL9, JAM2"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" ANO2, JAM2, ADGRL4, PTRB, LDB2, CADM2, VWF, BTNL9"	"endothelial cell"	"CL:0000115"	"endothelial cell"	" VWF, PTPRM, BTNL9, ADGRL4, LDB2, JAM2"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" BTNL9, LDB2, ADGRL4, PTRB"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" JAM2, ANO2"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1
270	"Azimuth"	"Adipose"	"MMRN1, CCL21, AL357507.1, PROX1, PPFIBP1, NRG3, RELN, STOX2, TFPI, LINC02147"	"Lymphatic Endothelial"	"endothelial cell"	"endothelial cell of lymphatic vessel"	"CL:0002138"	" RELN, LINC02147, AL357507.1, PROX1, CCL21, NRG3, STOX2,MMRN1, TFPI, PPFIBP1"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	" LINC02147, PPFIBP1,MMRN1, PROX1, AL357507.1, TFPI, STOX2, CCL21"	"lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	" CCL21, PPFIBP1, NRG3, PROX1, RELN, STOX2"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"MMRN1, NRG3, CCL21, STOX2"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	" PPFIBP1, RELN"	"Fibroblast"	"CL:0000057"	"fibroblast"	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"stromal cell"	0	"endothelial cell"	1
271	"Azimuth"	"Adipose"	"F13A1, MRC1, LGMN, FTL, CYBB, RBPJ, FRMD4B, SCN9A, CD163L1, IQGAP2"	"Macrophage"	"Myeloid cell"	"macrophage"	"CL:0000235"	" FTL, IQGAP2, RBPJ, CD163L1,F13A1, FRMD4B, SCN9A, LGMN, CYBB, MRC1"	"Macrophage"	"CL:0000235"	"macrophage"	" MRC1, FTL, RBPJ,F13A1, SCN9A, IQGAP2, LGMN, FRMD4B"	"macrophage"	"CL:0000235"	"macrophage"	" FRMD4B, IQGAP2,F13A1, CYBB, LGMN, SCN9A"	"Macrophage"	"CL:0000235"	"macrophage"	"F13A1, FRMD4B, LGMN, CD163L1"	"Macrophage"	"CL:0000235"	"macrophage"	" RBPJ, IQGAP2"	"unknown"	"CL:0000747"	"cyanophore"	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1	"unknown"	0	"Myeloid cell"	1
272	"Azimuth"	"Adipose"	"CPA3, KIT, TPSB2, NTM, TPSAB1, HGPD, MS4A2, SLC24A3, HDC, IL18R1"	"Mast"	"myeloid cell"	"mast cell"	"CL:0000097"	" SLC24A3,CPA3, HDC, KIT, TPSAB1, IL18R1, HGPD, NTM, MS4A2, TPSB2"	"Mast cell"	"CL:0000097"	"mast cell"	" MS4A2, HGPD, SLC24A3, KIT, NTM, TPSAB1, IL18R1,CPA3"	"mast cell"	"CL:0000097"	"mast cell"	" TPSB2, MS4A2, KIT, IL18R1, HGPD, SLC24A3"	"Mast cell"	"CL:0000097"	"mast cell"	" MS4A2, NTM, HDC, TPSAB1"	"Mast cell"	"CL:0000097"	"mast cell"	" KIT, HGPD"	"Mast cell"	"CL:0000097"	"mast cell"	"mast cell"	1	"mast cell"	1	"mast cell"	1	"mast cell"	1	"mast cell"	1
273	"Azimuth"	"Adipose"	"AP000561.1, AC005699.1, LINC02360, MSLN, KCTD8, PKHD1L1, COL8A1, LSAMP, PTPRQ, FAM155A"	"Mesothelial"	"epithelial cell"	"mesothelial cell"	"CL:0000077"	" KCTD8,AP000561.1, AC005699.1, COL8A1, LINC02360, MSLN, LSAMP, FAM155A, PTPRQ, PKHD1L1"	"Mesothelial cell"	"CL:0000077"	"mesothelial cell"	" AC005699.1,AP000561.1, PKHD1L1, LINC02360, COL8A1, MSLN, FAM155A, PTPRQ"	"mesothelial cell"	"CL:0000077"	"mesothelial cell"	" MSLN, KCTD8,AP000561.1, AC005699.1, PKHD1L1, LSAMP"	"Mesothelial cell"	"CL:0000077"	"mesothelial cell"	" COL8A1, KCTD8, LINC02360, PKHD1L1"	"Fibroblast"	"CL:0000057"	"fibroblast"	" PTPRQ, PKHD1L1"	"unknown"	"CL:0000747"	"cyanophore"	"epithelial cell"	1	"epithelial cell"	1	"stromal cell"	0	"unknown"	0	"epithelial cell"	1
274	"Azimuth"	"Adipose"	"VCAN, FCN1, SLC11A1, CSF3R, IL1B, KYNU, SAMSN1, CTSS, RNF144B, COTL1"	"Monocyte"	"Myeloid cell"	"monocyte"	"CL:0000576"	" FCN1,VCAN, RNF144B, SLC11A1, CSF3R, CTSS, IL1B, SAMSN1, KYNU, COTL1"	"Monocyte"	"CL:0000576"	"monocyte"	" KYNU, SLC11A1, RNF144B, CSF3R,VCAN, COTL1, SAMSN1, CTSS"	"monocyte"	"CL:0000576"	"monocyte"	" KYNU, FCN1,VCAN, CTSS, IL1B, SAMSN1"	"Monocyte"	"CL:0000576"	"monocyte"	" CTSS, IL1B, FCN1, KYNU"	"Monocyte"	"CL:0000576"	"monocyte"	" COTL1, FCN1"	"Monocyte"	"CL:0000576"	"monocyte"	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1
275	"Azimuth"	"Adipose"	"CSF3R, EPHB1, SORL1, GLT1D1, KCNJ15, SLC25A37, LUCAT1, CPPED1, LRRK2, MXD1"	"Neutrophil"	"myeloid cell"	"neutrophil"	"CL:0000775"	" MXD1, CPPED1, SLC25A37, GLT1D1, KCNJ15, LUCAT1, LRRK2, EPHB1, SORL1,CSF3R"	"Erythroid progenitor"	"CL:0002361"	"primitive erythroid progenitor"	" MXD1, SORL1, GLT1D1, LRRK2, CPPED1, KCNJ15, SLC25A37,CSF3R"	"erythroid progenitor"	"CL:0002361"	"primitive erythroid progenitor"	" LUCAT1, GLT1D1, EPHB1, SORL1,CSF3R, MXD1"	"Neutrophil"	"CL:0000775"	"neutrophil"	" MXD1, SLC25A37, SORL1, KCNJ15"	"Erythroid progenitor"	"CL:0002361"	"primitive erythroid progenitor"	" EPHB1, CPPED1"	"unknown"	"CL:0000747"	"cyanophore"	"progenitor cell"	0	"myeloid cell"	1	"progenitor cell"	0	"unknown"	0	"progenitor cell"	0
276	"Azimuth"	"Adipose"	"GNLY, CD247, SAMD3, NKG7, KLRD1, TXK, PYHIN1, CCL5, CCL4, KLRF1"	"NK"	"t/nk cell"	"natural killer cell"	"CL:0000623"	" KLRD1, CD247, TXK, CCL5,GNLY, KLRF1, SAMD3, NKG7, CCL4, PYHIN1"	"Natural killer cell"	"CL:0000623"	"natural killer cell"	" CCL4, KLRD1, CD247,GNLY, CCL5, PYHIN1, NKG7, TXK"	"NK cell"	"CL:0000623"	"natural killer cell"	" CD247, KLRD1, SAMD3, TXK, KLRF1, PYHIN1"	"Natural killer cell"	"CL:0000623"	"natural killer cell"	" KLRF1, CCL5, CD247,GNLY"	"Natural killer cell"	"CL:0000623"	"natural killer cell"	" SAMD3, CCL4"	"T cell"	"CL:0000084"	"T cell"	"T/NK cell"	1	"T/NK cell"	1	"T/NK cell"	1	"t/nk cell"	0.5	"T/NK cell"	1
277	"Azimuth"	"Adipose"	"COL25A1, POSTN, DLC1, STEAP4, MYO1B, RGS5, EBF2, THSD7B, KCNAB1, RGS6"	"Pericyte"	"stromal cell"	"pericyte"	"CL:0000669"	" POSTN, RGS5, THSD7B, EBF2, STEAP4, KCNAB1, MYO1B,COL25A1, RGS6, DLC1"	"Preadipocyte"	"CL:0002334"	"preadipocyte"	" DLC1, POSTN, STEAP4,COL25A1, EBF2, RGS5, RGS6, KCNAB1"	"preadipocyte"	"CL:0002334"	"preadipocyte"	" KCNAB1, STEAP4, RGS5, THSD7B, EBF2, DLC1"	"Pericyte"	"CL:0000669"	"pericyte"	"COL25A1, MYO1B, RGS6, THSD7B"	"unknown"	"CL:0000747"	"cyanophore"	" STEAP4,COL25A1"	"unknown"	"CL:0000747"	"cyanophore"	"stromal cell"	0.5	"stromal cell"	1	"unknown"	0	"unknown"	0	"stromal cell"	0.5
278	"Azimuth"	"Adipose"	"MYH11, TAGLN, ADGRL3, SORBS2, RCAN2, MYOCD, LMOD1, CARMN, CALD1, RGS6"	"Smooth Muscle"	"muscle cell"	"smooth muscle cell"	"CL:0000192"	" RGS6, TAGLN, SORBS2, CARMN, RCAN2, MYOCD, CALD1, LMOD1,MYH11, ADGRL3"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	" MYOCD,MYH11, SORBS2, CARMN, TAGLN, ADGRL3, CALD1, RGS6"	"smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	" SORBS2, MYOCD, RCAN2, RGS6, LMOD1, TAGLN"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	" CARMN, SORBS2, LMOD1, TAGLN"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	" CALD1, MYOCD"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1
279	"Azimuth"	"Adipose"	"IL7R, THEMIS, CAMK4, BCL11B, ITK, ANK3, CD96, TC2N, SKAP1, CD2"	"T"	"T/NK cell"	"T cell"	"CL:0000084"	" CAMK4, ANK3, CD2, THEMIS, TC2N,IL7R, BCL11B, CD96, ITK, SKAP1"	"T cell"	"CL:0000084"	"T cell"	" BCL11B, TC2N, CD2, ITK, THEMIS,IL7R, ANK3, CAMK4"	"T cell"	"CL:0000084"	"T cell"	" SKAP1, CD2, CD96, BCL11B, THEMIS, TC2N"	"T cell"	"CL:0000084"	"T cell"	" THEMIS, CAMK4, CD96, ITK"	"T cell"	"CL:0000084"	"T cell"	" BCL11B, ANK3"	"T cell"	"CL:0000084"	"T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1
280	"Azimuth"	"Heart"	"GPAM, ACACB, GHR, PDE3B, FASN, PRKAR2B, MGST1, PLIN1, LINC00598, SLC19A3"	"Adipocyte"	"stromal cell"	"fat cell"	"CL:0000136"	" PDE3B, PRKAR2B, MGST1, LINC00598, ACACB, SLC19A3,GPAM, FASN, GHR, PLIN1"	"Adipocyte"	"CL:0000136"	"adipocyte"	"GPAM, MGST1, GHR, SLC19A3, PDE3B, LINC00598, FASN, PRKAR2B"	"Adipocyte"	"CL:0000136"	"adipocyte"	" MGST1, PDE3B, SLC19A3, PRKAR2B, FASN, PLIN1"	"Adipocyte"	"CL:0000136"	"adipocyte"	" PRKAR2B, LINC00598, PDE3B, ACACB"	"Adipocyte"	"CL:0000136"	"adipocyte"	" PLIN1, ACACB"	"Adipocyte"	"CL:0000136"	"adipocyte"	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1
281	"Azimuth"	"Heart"	"LINC00639, ARL15, MECOM, IGFBP3, PCSK5, TM4SF1, EFNB2, DLL4, HEY1, GJA5"	"Arterial Endothelial"	"endothelial cell"	"endothelial cell of artery"	"CL:1000413"	" DLL4, TM4SF1, ARL15, HEY1, IGFBP3, GJA5, PCSK5,LINC00639, EFNB2, MECOM"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"LINC00639, ARL15, HEY1, PCSK5, TM4SF1, DLL4, GJA5, MECOM"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" PCSK5, DLL4, GJA5, IGFBP3, HEY1, EFNB2"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" PCSK5, IGFBP3, GJA5, DLL4"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" IGFBP3, HEY1"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1
282	"Azimuth"	"Heart"	"MYL7, FGF12, MYH6, ANKRD1, RYR2, ERBB4, TTN, CMYA5, NPPA, MYL7"	"Atrial Cardiomyocyte"	"cardiomyocyte"	"regular atrial cardiac myocyte"	"CL:0002129"	" MYH6, FGF12, ERBB4, ANKRD1, MYL7,MYL7, CMYA5, NPPA, TTN, RYR2"	"Cardiomyocyte"	"CL:0002495"	"fetal cardiomyocyte"	" FGF12,MYL7, NPPA, MYL7, CMYA5, ANKRD1, RYR2, TTN"	"Cardiomyocyte"	"CL:0002495"	"fetal cardiomyocyte"	" CMYA5, FGF12, MYL7, NPPA, TTN, MYH6"	"Cardiomyocyte"	"CL:0002495"	"fetal cardiomyocyte"	" MYH6,MYL7, MYL7, RYR2"	"Cardiomyocyte"	"CL:0002495"	"fetal cardiomyocyte"	" ERBB4, MYL7"	"Cardiomyocyte"	"CL:0002495"	"fetal cardiomyocyte"	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1
283	"Azimuth"	"Heart"	"IGKC, IGHM, IGHA1, AFF3, BANK1, IFNG-AS1, GNG7, MZB1, RALGPS2, MS4A1"	"B"	"B cell"	"B cell"	"CL:0000236"	"IGKC, IGHM, RALGPS2, GNG7, AFF3, BANK1, IGHA1, MS4A1, MZB1, IFNG-AS1"	"B cell"	"CL:0000236"	"B cell"	" GNG7, MZB1, IFNG-AS1, BANK1, IGHA1, IGHM, AFF3, MS4A1"	"B cell"	"CL:0000236"	"B cell"	" IGHA1,IGKC, IFNG-AS1, MS4A1, RALGPS2, BANK1"	"B cell"	"CL:0000236"	"B cell"	" MZB1, GNG7, IFNG-AS1, IGHA1"	"Plasma cell"	"CL:0000786"	"plasma cell"	" IGHA1,IGKC"	"Plasma cell"	"CL:0000786"	"plasma cell"	"B cell"	1	"B cell"	1	"B cell"	0.5	"B cell"	0.5	"B cell"	1
284	"Azimuth"	"Heart"	"BTNL9, FABP5, IFI27, RGCC, F8, MGLL, CA4, ADGRF5, ABLIM3, FLT1"	"Capillary Endothelial"	"endothelial cell"	NA	NA	" F8, RGCC, FLT1, ABLIM3,BTNL9, MGLL, FABP5, IFI27, CA4, ADGRF5"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" MGLL, ABLIM3, RGCC, FABP5, F8, FLT1, ADGRF5, IFI27"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"BTNL9, FLT1, RGCC, FABP5, F8, CA4"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"BTNL9, ADGRF5, ABLIM3, CA4"	"Alveolar cell"	"CL:0000583"	"alveolar macrophage"	"BTNL9, FLT1"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"endothelial cell"	1	"endothelial cell"	1	"epithelial cell"	0	"endothelial cell"	1	"endothelial cell"	1
285	"Azimuth"	"Heart"	"PCDH15, EGFL7, NRG3, LEPR, NRG1, POSTN, PCDH7, TMEM132C, CDH11, TMEM108"	"Endocardial"	"endothelial cell"	"endocardial cell"	"CL:0002350"	" TMEM132C, EGFL7, TMEM108, PCDH7, CDH11, NRG1,PCDH15, POSTN, NRG3, LEPR"	"Fibroblast"	"CL:0000057"	"fibroblast"	" NRG1,PCDH15, LEPR, PCDH7, NRG3, TMEM108, EGFL7, TMEM132C"	"Neuronal cell"	"CL:0000006"	"neuronal receptor cell"	" PCDH7, EGFL7, NRG3, CDH11, NRG1,PCDH15"	"Fibroblast"	"CL:0000057"	"fibroblast"	" TMEM132C, NRG3,PCDH15, POSTN"	"Fibroblast"	"CL:0000057"	"fibroblast"	" CDH11, PCDH7"	"Fibroblast"	"CL:0000057"	"fibroblast"	"neuronal cell"	0	"stromal cell"	0	"stromal cell"	0	"stromal cell"	0	"stromal cell"	0
286	"Azimuth"	"Heart"	"MYRIP, POSTN, NRG3, LDB2, SLCO2A1, ANO2, VWF, FAM155A, IL1R1, KCNIP4"	"Endothelial"	"endothelial cell"	"endothelial cell"	"CL:0000115"	"MYRIP, ANO2, SLCO2A1, POSTN, FAM155A, VWF, LDB2, IL1R1, NRG3, KCNIP4"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" LDB2, SLCO2A1, POSTN, IL1R1, NRG3,MYRIP, ANO2, FAM155A"	"Fibroblast"	"CL:0000057"	"fibroblast"	" VWF, KCNIP4, NRG3, FAM155A, IL1R1, POSTN"	"Fibroblast"	"CL:0000057"	"fibroblast"	" ANO2, LDB2, KCNIP4, VWF"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	" NRG3, FAM155A"	"Neuronal cell"	"CL:0000006"	"neuronal receptor cell"	"stromal cell"	0	"stromal cell"	0	"endothelial cell"	1	"neuronal cell"	0	"endothelial cell"	1
287	"Azimuth"	"Heart"	"DCN, APOD, ACSM3, CFD, ABCA9, NEGR1, LAMA2, ABCA6, ABCA8, KAZN"	"Fibroblast"	"stromal cell"	"fibroblast"	"CL:0000057"	" ABCA9, CFD, APOD,DCN, NEGR1, ACSM3, ABCA8, KAZN, ABCA6, LAMA2"	"Fibroblast"	"CL:0000057"	"fibroblast"	" APOD,DCN, ACSM3, LAMA2, ABCA8, NEGR1, ABCA6, KAZN"	"Fibroblast"	"CL:0000057"	"fibroblast"	" KAZN, NEGR1, CFD, ABCA8, ACSM3, LAMA2"	"Fibroblast"	"CL:0000057"	"fibroblast"	" ACSM3,DCN, KAZN, ABCA8"	"Fibroblast"	"CL:0000057"	"fibroblast"	" APOD, ABCA9"	"Fibroblast"	"CL:0000057"	"fibroblast"	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1
288	"Azimuth"	"Heart"	"KIT, IL18R1, RD3, CPA3, SLC38A11, SLC8A3, TPSAB1, HDC, MS4A2, OR8A1"	"ILC"	"t/nk cell"	"innate lymphoid cell"	"CL:0001065"	" RD3, SLC38A11,KIT, CPA3, IL18R1, OR8A1, MS4A2, TPSAB1, SLC8A3, HDC"	"Mast cell"	"CL:0000097"	"mast cell"	" MS4A2, OR8A1, SLC8A3, TPSAB1, SLC38A11, HDC, CPA3, IL18R1"	"Mast cell"	"CL:0000097"	"mast cell"	"KIT, TPSAB1, RD3, MS4A2, HDC, OR8A1"	"Mast cell"	"CL:0000097"	"mast cell"	"KIT, OR8A1, RD3, TPSAB1"	"Mast cell"	"CL:0000097"	"mast cell"	" HDC, MS4A2"	"Mast cell"	"CL:0000097"	"mast cell"	"mast cell"	0	"mast cell"	0	"mast cell"	0	"mast cell"	0	"mast cell"	0
289	"Azimuth"	"Heart"	"CCL21, MMRN1, RELN, PKHD1L1, SEMA3A, PPFIBP1, TFPI, SNTG2, EFNA5, PROX1"	"Lymphatic Endothelial"	"endothelial cell"	"endothelial cell of lymphatic vessel"	"CL:0002138"	" PROX1,CCL21, MMRN1, PPFIBP1, SEMA3A, RELN, EFNA5, PKHD1L1, TFPI, SNTG2"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"CCL21, SNTG2, TFPI, PPFIBP1, RELN, PROX1, MMRN1, PKHD1L1"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	" MMRN1, EFNA5, RELN,CCL21, SEMA3A, SNTG2"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	" RELN,CCL21, PKHD1L1, SEMA3A"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	" EFNA5, TFPI"	"Endothelial cell"	"CL:0000115"	"endothelial cell"	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1
290	"Azimuth"	"Heart"	"F13A1, RBPJ, MRC1, CD163, COLEC12, RBM47, FMN1, MS4A6A, STAB1, FRMD4B"	"Macrophage"	"Myeloid cell"	"macrophage"	"CL:0000235"	" RBPJ, MS4A6A, RBM47, STAB1, FMN1, COLEC12, CD163, FRMD4B, MRC1,F13A1"	"Macrophage"	"CL:0000235"	"macrophage"	"F13A1, RBPJ, COLEC12, RBM47, FRMD4B, FMN1, MS4A6A, STAB1"	"Macrophage"	"CL:0000235"	"macrophage"	" STAB1, CD163, FRMD4B, RBM47, MS4A6A, MRC1"	"Macrophage"	"CL:0000235"	"macrophage"	" CD163, RBPJ, MRC1, FRMD4B"	"Macrophage"	"CL:0000235"	"macrophage"	" STAB1, RBM47"	"Macrophage"	"CL:0000235"	"macrophage"	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1	"Myeloid cell"	1
291	"Azimuth"	"Heart"	"SLC24A3, IL18R1, CPA3, NTM, KIT, SLC8A3, SLC38A11, CDK15, HPGDS, RAB27B"	"Mast"	"myeloid cell"	"mast cell"	"CL:0000097"	" NTM, RAB27B,SLC24A3, CPA3, IL18R1, HPGDS, CDK15, SLC38A11, SLC8A3, KIT"	"Mast cell"	"CL:0000097"	"mast cell"	" SLC38A11, CPA3, NTM, HPGDS, RAB27B, KIT,SLC24A3, IL18R1"	"Mast cell"	"CL:0000097"	"mast cell"	" SLC8A3, HPGDS, RAB27B, CDK15, CPA3, KIT"	"Mast cell"	"CL:0000097"	"mast cell"	" CDK15, NTM,SLC24A3, CPA3"	"Mast cell"	"CL:0000097"	"mast cell"	" CPA3, RAB27B"	"Mast cell"	"CL:0000097"	"mast cell"	"mast cell"	1	"mast cell"	1	"mast cell"	1	"mast cell"	1	"mast cell"	1
292	"Azimuth"	"Heart"	"ITLN1, PDZRN4, SLC39A8, PRG4, GFPT2, C3, KCNT2, WWC1, HAS1, RBFOX1"	"Mesothelial"	"epithelial cell"	"mesothelial cell"	"CL:0000077"	" C3, KCNT2, GFPT2, PDZRN4, HAS1, WWC1, SLC39A8, PRG4, RBFOX1,ITLN1"	"Fibroblast"	"CL:0000057"	"fibroblast"	" GFPT2, PRG4, SLC39A8, C3, WWC1, PDZRN4,ITLN1, KCNT2"	"Mesothelial cell"	"CL:0000077"	"mesothelial cell"	" PDZRN4, PRG4, GFPT2, SLC39A8, RBFOX1, C3"	"Fibroblast"	"CL:0000057"	"fibroblast"	" GFPT2, KCNT2,ITLN1, HAS1"	"Fibroblast"	"CL:0000057"	"fibroblast"	" SLC39A8, PRG4"	"Fibroblast"	"CL:0000057"	"fibroblast"	"epithelial cell"	1	"stromal cell"	0	"stromal cell"	0	"stromal cell"	0	"stromal cell"	0
293	"Azimuth"	"Heart"	"S100A8, S100A9, CD163, MSR1, SLC11A1, FMN1, RBM47, ITGAX, ADAM28, FLT3, CD74"	"Monocyte/cDC"	"myeloid cell"	"monocyte,conventional dendritic cell"	"CL:0000576,CL:0000990 "	" SLC11A1, CD163, MSR1, CD74, RBM47, FLT3, FMN1, S100A9, ADAM28, ITGAX,S100A8"	"Macrophage"	"CL:0000235"	"macrophage"	" RBM47, SLC11A1, ADAM28, CD74, FMN1, CD163, FLT3, MSR1,S100A8"	"Macrophage"	"CL:0000235"	"macrophage"	" S100A9, FLT3,S100A8, ADAM28, FMN1, MSR1, SLC11A1"	"Neutrophil"	"CL:0000775"	"neutrophil"	"S100A8, CD163, ADAM28, ITGAX"	"Monocyte"	"CL:0000576"	"monocyte"	" S100A9, ITGAX"	"Neutrophil"	"CL:0000775"	"neutrophil"	"Myeloid cell"	0.5	"myeloid cell"	0.5	"Myeloid cell"	1	"myeloid cell"	0.5	"Myeloid cell"	0.5
294	"Azimuth"	"Heart"	"NRXN1, NRXN3, CADM2, XKR4, CDH19, ADGRB3, CHL1, NCAM2, KIRREL3, SORCS1"	"Neuronal"	"neuronal cell"	"neuron"	"CL:0000540"	" SORCS1, XKR4, CHL1, NCAM2, KIRREL3, NRXN3, CDH19, ADGRB3,NRXN1, CADM2"	"Neuronal cell"	"CL:0000006"	"neuronal receptor cell"	" SORCS1, XKR4, NRXN3, CHL1,NRXN1, ADGRB3, CADM2, KIRREL3"	"Neuronal cell"	"CL:0000006"	"neuronal receptor cell"	" ADGRB3, CDH19, XKR4, CHL1, NCAM2,NRXN1"	"Neuronal cell"	"CL:0000006"	"neuronal receptor cell"	"NRXN1, SORCS1, KIRREL3, XKR4"	"Neuron"	"CL:0000540"	"neuron"	" CDH19, SORCS1"	"Schwann cell"	"CL:0002573"	"Schwann cell"	"neuronal cell"	1	"neuronal cell"	1	"neuron"	1	"glial cell"	0	"neuronal cell"	1
295	"Azimuth"	"Heart"	"GNLY, NKG7, CD247, TXK, KLRD1, CCL4, CCL5, AOAH, PRF1, PARP8"	"NK"	"t/nk cell"	"natural killer cell"	"CL:0000623"	" TXK, CCL4, CD247, NKG7, KLRD1, PRF1, AOAH,GNLY, PARP8, CCL5"	"Natural killer cell"	"CL:0000623"	"natural killer cell"	" CCL5, AOAH, PARP8, KLRD1, NKG7, TXK, CCL4,GNLY"	"Natural killer cell"	"CL:0000623"	"natural killer cell"	" NKG7, CCL5, TXK, CCL4, KLRD1, CD247"	"Natural killer cell"	"CL:0000623"	"natural killer cell"	" TXK, CCL5, CD247, NKG7"	"T cell"	"CL:0000084"	"T cell"	" NKG7, CD247"	"T cell"	"CL:0000084"	"T cell"	"T/NK cell"	1	"T/NK cell"	1	"t/nk cell"	0.5	"t/nk cell"	0.5	"T/NK cell"	1
296	"Azimuth"	"Heart"	"RGS5, ABCC9, GUCY1A2, EGFLAM, DLC1, FRMD3, PDGFRB, AGT, PLA2G5, EPS8"	"Pericyte"	"stromal cell"	"pericyte"	"CL:0000669"	" GUCY1A2, DLC1, ABCC9, FRMD3,RGS5, PLA2G5, EGFLAM, EPS8, PDGFRB, AGT"	"Pericyte"	"CL:0000669"	"pericyte"	" GUCY1A2, AGT,RGS5, EPS8, PLA2G5, PDGFRB, DLC1, ABCC9"	"Pericyte"	"CL:0000669"	"pericyte"	" EPS8, PDGFRB, AGT, ABCC9, PLA2G5, GUCY1A2"	"Pericyte"	"CL:0000669"	"pericyte"	" AGT, FRMD3, DLC1,RGS5"	"Pericyte"	"CL:0000669"	"pericyte"	"RGS5, DLC1"	"Pericyte"	"CL:0000669"	"pericyte"	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1
