"original_name"	"broad_type"
"astrocytes, neurons, oligodendrocytes"	"immune cell"
"amacrine cells, photoreceptors"	"glial cell"
"t cells, progenitors, neurons"	"glial cell"
"radial glia, neurons, astrocytes"	"glial cell"
"pericytes, astrocytes, smooth muscle cells, podocytes"	"vascular cell"
"radial glia, pericytes, mesenchymal stem cells, astrocytes, neurons"	"mixed"
"mesenchymal cells, smooth muscle cells, chondroblasts, podocytes"	"mesenchymal cell"
"smooth muscle cells, hepatocytes, pericytes, neurons, macrophages"	"mixed"
"radial glia, neurons, schwann cells, progenitors"	"mixed"
"schwann cells, oligodendrocytes"	"glial cell"
"schwann cells, astrocytes, neurons, oligodendrocytes"	"glial cell"
"schwann cells, oligodendrocytes, radial glia, astrocytes, pericytes, neurons"	"mixed"
"smooth muscle cells, astrocytes, mesenchymal stem cells, neurons"	"mixed"
"schwann cells, mesenchymal stem cells, pericytes, neurons, astrocytes"	"mixed"
"pericytes, neurons, schwann cells, progenitors"	"mixed"
"endoderm"	"germ layer"
"mesoderm"	"germ layer"
"neural crest"	"germ layer"
"somitic mesoderm"	"germ layer"
"type ii pneumocyte, clara cell, alveolar macrophage, fibroblast"	"mixed"
"type ii pneumocyte, fibroblast, b cell, macrophage, granulocyte"	"mixed"
"t cell, type ii pneumocyte"	"mixed"
"clara cell, alveolar epithelial cell, fibroblast"	"mixed"
"b cell, macrophage, granulocyte, t cell"	"B cell"
"fibroblast, ciliated cell"	"Myeloid cell"
"fibroblast, alveolar macrophage, goblet cell, type ii pneumocyte"	"Myeloid cell"
"clara cell, goblet cell, type ii pneumocyte, fibroblast, granulocyte"	"T/NK cell"
"clara cell, fibroblast, b cell, macrophage"	"Mesenchymal cell"
"t cell, fibroblast"	"Epithelial cell"
"fibroblast, clara cell, type ii pneumocyte, t cell, b cell"	"Mesenchymal cell"
"clara cell, type ii pneumocyte"	"Epithelial cell"
"fibroblast, t cell"	"Mesenchymal cell"
"proximal tubular cells and podocytes"	"Epithelial cell"
"collecting duct cells and interstitial cells"	"Epithelial cell"
"proximal tubular cells and collecting duct cells"	"Epithelial cell"
"mesangial cells, podocytes, and smooth muscle cells"	"Mesenchymal cell"
"podocytes, pericytes, and possibly other cells"	"Mesenchymal cell"
"podocytes and collecting duct cells"	"Epithelial cell"
"collecting duct cells"	"Epithelial cell"
"podocytes and smooth muscle cells"	"Mesenchymal cell"
"b cell, t cell, macrophage"	"Lymphoid cell"
"b cell, t cell, macrophage, neutrophil"	"Lymphoid cell"
"t cell, b cell"	"Lymphoid cell"
"t cell, cytotoxic t cell"	"t/nk cell"
"t cell, macrophage, neutrophil"	"t/nk cell"
"b cell, progenitor cell"	"B cell"
"b cell, macrophage"	"B cell"
"cytotoxic t cells (cd8+)"	"t/nk cell"
"type ii pneumocytes"	"epithelial cell"
"alveolar macrophages"	"myeloid cell"
"t cells (cd8+)"	"t/nk cell"
"type ii pneumocytes and goblet cells"	"epithelial cell"
"macrophages and fibroblasts"	"myeloid cell"
"macrophages and type ii pneumocytes"	"myeloid cell"
"fibroblasts and macrophages"	"connective tissue"
"fibroblasts and goblet cells"	"connective tissue"
"b cells and dendritic cells"	"B cell"
"platelets, b cells, and endothelial cells"	"connective tissue"
"smooth muscle cells and fibroblasts"	"connective tissue"
"sinusoidal endothelial cell"	"endothelial cell"
"pituitary"	"endocrine cell"
"connective tissue"	"connective tissue"
"thyroid cell"	"endocrine cell"
"liver cell"	"epithelial cell"
"mitochondrial cell"	"other"
"bladder cell"	"epithelial cell"
"cytoplasmic cell"	"other"
"cl:0002339"	"other"
"b cell and t cell"	"t/nk cell"
"b cell and goblet cell"	"mixed cell type"
"t cell and goblet cell"	"mixed cell type"
"paneth cell and goblet cell"	"mixed cell type"
"t_cell"	"t/nk cell"
"prostate cancer cell"	"malignant cell"
"prostate stromal cell"	"stromal cell"
"neuronal cell"	"neuronal cell"
"lymphatic endothelial cells"	"endothelial cell"
"keratinocyte, fibroblast"	"mixed cell type"
"fibroblast, inflammatory cell, macrophage"	"mixed cell type"
"macrophage, lymphatic endothelial cell"	"mixed cell type"
"merkel cell"	"epithelial cell"
"endothelial cell, smooth muscle cell"	"mixed cell type"
"adipocyte, keratinocyte"	"mixed cell type"
"smooth muscle cell, myoepithelial cell"	"muscle cell"
"platelet, endothelial cell"	"blood cell"
"b cell and macrophage"	"blood cell"
"goblet cell and paneth cell"	"epithelial cell"
"goblet cell and smooth muscle cell"	"epithelial cell"
"apc (dendritic cell and macrophage)"	"immune cell"
"fibroblast and endocrine cell"	"connective tissue cell"
"fibroblast and enterocyte"	"connective tissue cell"
"macrophage and t cell"	"immune cell"
"t cell and macrophage"	"immune cell"
"squamous cell"	"epithelial cell"
"macrophages and neutrophils"	"immune cell"
"cells in g2 phase or dividing cells"	"dividing cell"
"airway cells or goblet cells"	"epithelial cell"
"melanoma cell"	"malignant cell"
"macrophage, b cell, t cell, dendritic cell"	"immune cell"
"eosinophils"	"immune cell"
"gnly"	"immune cell"
"tyrobp"	"immune cell"
"nkg7"	"immune cell"
"fcer1g"	"other"
"gzmb"	"other"
"trdc"	"t/nk cell"
"prf1"	"other"
"fgfbp2"	"t/nk cell"
"spon2"	"other"
"klrf1"	"t/nk cell"
"cl:0017005"	"other"
"dcn,apod,adh1b,col6a3,cfd,mfap5,mgst1,c3,cilp,c1s"	"stromal cell"
"alas2,hbm,hbd,ahsp,hbq1,epb42,ca1,hemgn,hba1,krt1"	"erythroid cell"
"activated t cell"	"t/nk cell"
"intermediate"	"other"
"pancreatic stellate cell"	"stromal cell"
"neuronal progenitor"	"neuronal cell"
"pituitary cell"	"endocrine cell"
"cardiac myocyte"	"muscle cell"
"motor neuron"	"neuronal cell"
"type ii pneumocyte"	"epithelial cell"
"podocyte cell"	"stromal cell"
"treg"	"t/nk cell"
"tfh"	"t/nk cell"
"tc"	"t/nk cell"
"tcm"	"t/nk cell"
"teff"	"t/nk cell"
"hepatic stellate cells"	"stromal cell"
"type i pneumocyte"	"epithelial cell"
"myeloid progenitor cell"	"progenitor cell"
"cl:0000235"	"unknown"
"0.355031299591064"	"unknown"
"cl:0000767"	"unknown"
"pancreatic stellate cell"	"stromal cell"
"cardiac ventricular myocyte"	"muscle cell"
"cardiac smooth muscle cell"	"muscle cell"
"cardiac myocyte"	"muscle cell"
"cl:0000006"	"unknown"
"cl:0000646"	"unknown"
"0.0447660088539124"	"unknown"
"pkc-alpha-positive keratinocyte"	"epithelial cell"
"epidermal stem cell"	"epithelial cell"
"cl:0000499"	"unknown"
"cl:0002086"	"stem cell"
"prostate stem cell"	"stem cell"
"activated b cell"	"B cell"
"activated t cell"	"t/nk cell"
"corneal epithelial cells"	"epithelial cell"
"rpe cells"	"epithelial cell"
"myoblasts"	"muscle cell"
"tubular cell"	"epithelial cell"
"mucous cell"	"epithelial cell"
"dermal fibroblast"	"connective tissue cell"
"hepatoblasts"	"stem cell"
"type i alveolar cell"	"epithelial cell"
"t regulatory cell"	"t/nk cell"
"myotube"	"muscle cell"
"natural killer"	"t/nk cell"
"pancreatic duct"	"epithelial cell"
"prostate stem cells"	"stem cell"
"enterochromaffin cell"	"epithelial cell"
"crypt cell"	"epithelial cell"
"intraepithelial lymphocyte"	"t/nk cell"
"l2/3 it"	"neuronal cell"
"l5 et"	"neuronal cell"
"ol"	"glial cell"
"pp cell"	"neuronal cell"
"delta cell"	"neuronal cell"
"cerebellar granule cell"	"neuronal cell"
"neuroblast"	"neuronal cell"
"photoreceptor cell"	"neuronal cell"
"schwann cell precursor"	"glial cell"
"nephron progenitor cell"	"progenitor cell"
"pancreatic ductal cell"	"epithelial cell"
"retinal pigment epithelial cell"	"epithelial cell"
"cardiac muscle cell"	"muscle cell"
"pancreatic islet cell"	"endocrine cell"
"trophoblast cell"	"placental cell"
"alveolar macrophage"	"immune cell"
"myeloid dendritic cell"	"immune cell"
"intercalated cell"	"epithelial cell"
"osteocyte"	"bone cell"
"t follicular regulatory cell"	"t/nk cell"
"pro-b cell"	"B cell"
"adipocyte precursor"	"mesenchymal cell"
"adrenal cell"	"endocrine cell"
"type ii alveolar cell"	"epithelial cell"
"thyrocyte"	"epithelial cell"
"ribosome"	"other"
"pancreatic ductal cell"	"epithelial cell"
"ductal cell"	"epithelial cell"
"mucous cell"	"epithelial cell"
"adrenal chromaffin cell"	"endocrine cell"
"0.0511760592460632"	"other"
"theca cell"	"stromal cell"
"defensin-expressing cell"	"immune cell"
"spermatogonial stem cell"	"stem cell"
"microglial cell"	"immune cell"
"chief cell"	"epithelial cell"
"adrenal cortical cell"	"endocrine cell"
"corneal keratinocyte"	"epithelial cell"
"esophageal fibroblast"	"stromal cell"
"esophageal keratinocyte"	"epithelial cell"
"esophageal immune cell"	"immune cell"
"esophageal dendritic cell"	"immune cell"
"esophageal t cell"	"t/nk cell"
"esophageal smooth muscle cell"	"muscle cell"
"esophageal interstitial cell of cajal"	"interstitial cell"
"esophageal neuron"	"neuron"
"esophageal pericyte"	"pericyte"
"cardiac endothelial cell"	"endothelial cell"
"cl:0000034"	"unknown"
"cl:0000084"	"unknown"
"cl:0000540"	"unknown"
"0.0703001767396927"	"unknown"
"cl:0000057"	"unknown"
"skeletal muscle satellite cell"	"muscle cell"
"mucous cell"	"epithelial cell"
"cl:0000136"	"unknown"
"immature dendritic cell"	"immune cell"
"tumor-associated macrophage"	"immune cell"
"unknown cell type"	"unknown"
"müller glial cell"	"glial cell"
"cardiac myocyte"	"muscle cell"
"taste receptor cell"	"sensory cell"
"neural crest cell"	"stem/progenitor cell"
"follicular dendritic cell"	"immune cell"
"tendon cell"	"connective tissue cell"
"islet beta cell"	"endocrine cell"
"salivary gland acinar cell"	"epithelial cell"
"salivary gland ductal cell"	"epithelial cell"
"glandular epithelial cell"	"epithelial cell"
"motor cortex neurons"	"neuronal cell"
"motor cortex interneurons"	"neuronal cell"
"pancreas acinar cells"	"exocrine cell"
"pancreas islet a cells"	"endocrine cell"
"pancreas islet b cells"	"endocrine cell"
"pancreas ductal cells"	"epithelial cell"
"pancreas exocrine cells"	"exocrine cell"
"neural crest cells"	"stem/progenitor cell"
"epiblast cells"	"stem/progenitor cell"
"endodermal cells"	"stem/progenitor cell"
"ectodermal cells"	"stem/progenitor cell"
"neural cells"	"neural cell"
"hepatoblast cells"	"epithelial cell"
"mesenchymal progenitor cells"	"mesenchymal cell"
"neural stem cells"	"neural cell"
"neural stem cell progenitors"	"neural cell"
"cleavage"	"embryonic cell"
"epiblast"	"embryonic cell"
"exocyst"	"epithelial cell"
"endometrial"	"epithelial cell"
"neural crest"	"neural cell"
"neural tube"	"neural cell"
"neuroepithelial"	"neural cell"
"neuroectodermal"	"neural cell"
"neural stem"	"neuromuscular cell"
"neuromuscular"	"neuromuscular cell"
"neuromuscular junction"	"neuromuscular cell"
"neuromuscular cell"	"neuromuscular cell"
"neuromuscular precursor"	"neuromuscular cell"
"neuromuscular satellite cell"	"neuromuscular cell"
"blastema cell"	"mesenchymal cell"
"distal convoluted tubule cells"	"epithelial cell"
"proximal tubule cells"	"epithelial cell"
"ctse"	"immune cell"
"tspo2"	"immune cell"
"ifit1b"	"immune cell"
"tmem56"	"immune cell"
"rhce"	"erythroid cell"
"rhag"	"erythroid cell"
"spta1"	"erythroid cell"
"add2"	"erythroid cell"
"epcam"	"epithelial cell"
"hbg1"	"erythroid cell"
"avp"	"neuroendocrine cell"
"crhbp"	"neuroendocrine cell"
"c1qtnf4"	"immune cell"
"bex1"	"neural cell"
"npr3"	"endothelial cell"
"cd34"	"neural cell"
"npw"	"immune cell"
"smim24"	"immune cell"
"csf3r"	"receptor"
"npdc1"	"immune cell"
"lung epithelial cells"	"epithelial cell"
"lung stromal cells"	"stromal cell"
"lung macrophages"	"macrophage"
"lung neutrophils"	"neutrophil"
"lung basophils"	"basophil"
"lung eosinophils"	"eosinophil"
"lung t-lymphocytes"	"t/nk cell"
"lung nk cells"	"t/nk cell"
"lung cd4+ t cells"	"t/nk cell"
"lung cd8+ t cells"	"t/nk cell"
"lung cd14+ cells"	"myeloid cell"
"lung cd16+ cells"	"myeloid cell"
"lung cd24+ cells"	"epithelial cell"
"lung cd34+ cells"	"stem/progenitor cell"
"lung cd45+ cells"	"immune cell"
"lung cd68+ cells"	"macrophage"
"lung cd79a+ cells"	"B cell"
"lung cd80+ cells"	"immune cell"
"lung cd86+ cells"	"myeloid cell"
"lung cd103+ cells"	"myeloid cell"
"th2 cell"	"t/nk cell"
"th0 cell"	"t/nk cell"
"th22 cell"	"t/nk cell"
"th9 cell"	"t/nk cell"
"th38 cell"	"t/nk cell"
"th39 cell"	"t/nk cell"
"th40 cell"	"t/nk cell"
"th41 cell"	"t/nk cell"
"th42 cell"	"t/nk cell"
"th43 cell"	"t/nk cell"
"adipogenesis"	"mesenchymal cell"
"adipocyte like cell"	"mesenchymal cell"
"adipocyte like cell precursor"	"mesenchymal cell"
"adipocyte precursor cell"	"mesenchymal cell"
"adipocyte precursor cell like"	"mesenchymal cell"
"adipocyte precursor cell precursor"	"mesenchymal cell"
"adipocyte precursor cell precursor like"	"mesenchymal cell"
"adipocyte precursor cell precursor precursor"	"mesenchymal cell"
"adipocyte precursor cell precursor precursor like"	"mesenchymal cell"
"cardiac myoblast"	"muscle cell"
"cardiac endothelial cell"	"endothelial cell"
"cardiac smooth muscle cell"	"muscle cell"
"cardiac pericyte"	"mesenchymal cell"
"na cells"	"unknown"
"nacell"	"unknown"
"fcn3"	"unknown"
"ccl5"	"unknown"
"hla-b"	"unknown"
"myl12a"	"unknown"
"ifitm2"	"unknown"
"ifitm3"	"unknown"
"ms4a6a"	"unknown"
"s100a4"	"unknown"
"hla-c"	"unknown"
"rps6"	"unknown"
"rps18"	"unknown"
"rps4x"	"unknown"
"rps3a"	"unknown"
"rps14"	"ribosomal protein"
"rps23"	"ribosomal protein"
"rpl11"	"ribosomal protein"
"rps16"	"ribosomal protein"
"rps3"	"ribosomal protein"
"mdk"	"stromal cell"
"mylk"	"stromal cell"
"ms4a4b"	"immune cell"
"rtn1"	"neuronal cell"
"s100a6"	"stromal cell"
"rps13-ps1"	"ribosomal protein"
"prm1"	"germ cell"
"rhox5"	"stromal cell"
"sbp"	"stromal cell"
"matn1"	"stromal cell"
"camp"	"immune cell"
"elane"	"immune cell"
"klf1"	"stromal cell"
"tff1"	"epithelial cell"
"0.0302852034568787"	"unknown"
"wap"	"unknown"
"plp1"	"unknown"
"fabp7"	"unknown"
"dlk1"	"unknown"
"nacells"	"malignant cell"
"esophageal squamous cell carcinoma"	"malignant cell"
"esophageal adenocarcinoma"	"muscle cell"
"cardiac pacemaker cell"	"stromal cell"
"cardiac valve interstitial cell"	"stromal cell"
"cardiac endocardial cell"	"stromal cell"
"cardiac epicardial cell"	"stromal cell"
"cardiac pericyte"	"stromal cell"
"cardiac stromal cell"	"neuron"
"cardiac neuron"	"muscle cell"
"cardiac myoblast"	"epithelial cell"
"blastomycoid epithelial cell"	"epithelial cell"
"pseudostratified columnar epithelial cell"	"epithelial cell"
"prostate luminal cells"	"unknown"
"cl:0011026"	"unknown"
"0.061210498213768"	"unknown"
"budwig myoblast"	"muscle cell"
"myofiber"	"muscle cell"
"acacb"	"enzyme"
"itga7"	"cell surface receptor"
"ptprg"	"enzyme"
"glul"	"enzyme"
"gbe1"	"enzyme"
"fasn"	"enzyme"
"ghr"	"receptor"
"adh1b"	"enzyme"
"col4a2"	"extracellular matrix"
"pparg"	"transcription factor"
"pkhd1l1"	"enzyme"
"mmrn1"	"extracellular matrix"
"ppfibp1"	"protein binding"
"ldb2"	"transcription factor"
"plpp1"	"enzyme"
"mammary epithelial stem cells"	"epithelial cell"
"mammary epithelial progenitor cells"	"epithelial cell"
"breast epithelial cells"	"epithelial cell"
"esophageal squamous cell"	"epithelial cell"
"cl:0000746"	"fibroblast"
"lungadherent fibroblasts"	"epithelial cell"
"lungalveolar type ii cells"	"epithelial cell"
"lungalveolar type i cells"	"immune cell"
"lungmacrophages"	"epithelial cell"
"lungepithelial cells"	"endothelial cell"
"lungendothelial cells"	"stromal cell"
"lungsubepithelial cells"	"epithelial cell"
"lungbronchiolar epithelial cells"	"epithelial cell"
"lungbronchial epithelial cells"	"epithelial cell"
"basal prostate cell"	"epithelial cell"
"epidermal cell"	"stromal cell"
"stromal cell"	"immune cell"
"tumor-associated macrophages"	"epithelial cell"
"bladdercells"	"epithelial cell"
"rpe65"	"immune cell"
"c1qa"	"immune cell"
"c1qc"	"immune cell"
"rgs1"	"immune cell"
"cd163"	"immune cell"
"laptm5"	"immune cell"
"aif1"	"immune cell"
"sag"	"neuronal cell"
"rcvrn"	"neuronal cell"
"gngt1"	"neuronal cell"
"rom1"	"neuronal cell"
"ac13951"	"unknown"
"nrl"	"neuronal cell"
"gnat1"	"neuronal cell"
"crabp1"	"neuronal cell"
"tf"	"transcription factor"
"fabp7"	"glial cell"
"c1orf61"	"unknown"
"blastocyst inner cell mass"	"embryonic cell"
"inner cell mass"	"embryonic cell"
"trophectoderm"	"epithelial cell"
"trophectoderm giant cells"	"epithelial cell"
"red blood cells"	"red blood cell"
"cl:0002548"	"unknown"
"cl:0000669"	"epithelial cell"
"enterochromaffin cells"	"epithelial cell"
"cuboidal cells"	"epithelial cell"
"t-lymphocytes"	"granulocyte"
"granulocytes"	"stromal cell"
"ito cells"	"stromal cell"
"hepatocyte stellate cells"	"endothelial cell"
"liver sinusoidal endothelial cells"	"stromal cell"
"liver stellate cells"	"macrophage"
"liver macrophages"	"t/nk cell"
"liver natural killer cells"	"dendritic cell"
"liver dendritic cells"	"B cell"
"liver b cells"	"t/nk cell"
"liver t cells"	"t/nk cell"
"liver natural killer t cells"	"t/nk cell"
"liver regulatory t cells"	"unknown"
"ednrb"	"unknown"
"rtkn2"	"unknown"
"ackr1"	"unknown"
"ccl21"	NA
"myh11"	"muscle cell"
"al13901"	"unknown"
"scgb3a2"	"epithelial cell"
"ppp1r14a"	"unknown"
"ac00581"	"unknown"
"cox4i2"	"epithelial cell"
"itln1"	"epithelial cell"
"ac00922"	"unknown"
"ascl3"	"epithelial cell"
"dendritic cell subset"	"dendritic cell"
"t cell receptor positive"	"t/nk cell"
"t cell receptor negative"	"t/nk cell"
"t cell receptor positive subset"	"t/nk cell"
"t cell receptor negative subset"	"t/nk cell"
"plasmacytoid dendritic cells"	"dendritic cell"
"mature dendritic cells"	"dendritic cell"
"mammary stromal cells"	"stromal cell"
"mammary basal stem cells"	"stem cell"
"mammary luminal stem cells"	"stem cell"
"pancreas β cells"	"endocrine cell"
"pancreas α cells"	"endocrine cell"
"pancreas pp cells"	"endocrine cell"
"pancreas d cells"	"endocrine cell"
"pancreas δ cells"	"endocrine cell"
"basal epithelial cells"	"epithelial cell"
"th1/th2 hybrid cell"	"t/nk cell"
"th1/th17 hybrid cell"	"t/nk cell"
"th2/th17 hybrid cell"	"t/nk cell"
"lymphoid cells"	"t/nk cell"
"pyramidal neuron"	"neuronal cell"
"chromaffin cell"	"neuroendocrine cell"
"endodermal progenitor cell"	"progenitor cell"
"retinal bipolar cell"	"neuronal cell"
"cajal-retzius cell"	"neuronal cell"
"cholinergic neuron"	"neuronal cell"
"mesonephric cell"	"mesenchymal cell"
"pseudstratified epithelial cell"	"epithelial cell"
"parasympathetic neuron"	"neuronal cell"
"pluripotent cell"	"pluripotent cell"
"alveolar type i cells"	"epithelial cell"
"lamina propria fibroblasts"	"stromal cell"
"mesothelial cells"	"epithelial cell"
"pneumocytes"	"epithelial cell"
"pulmonary fibroblasts"	"stromal cell"
"type i pneumocytes"	"epithelial cell"
"collecting duct cells"	"epithelial cell"
"distal tubule cells"	"epithelial cell"
"rbc"	"erythroid cell"
"alveolar type i cell"	"epithelial cell"
"alveolar type ii cell"	"epithelial cell"
"lymphoblast"	"lymphoid cell"
"primordial germ cells"	"germ cell"
"cl:0000510"	"unknown"
"leydig cells"	"stromal cell"
"pancreatic beta cells"	"endocrine cell"
"lactating mammary cells"	"epithelial cell"
"purkinje fiber"	"muscle cell"
"0.0493656992912292"	"unknown"
"cl:0000192"	"unknown"
"basal-like"	"epithelial cell"
"mammary stem cell"	"stem cell"
"luminal progenitor"	"progenitor cell"
"luminal"	"epithelial cell"
"cl:1001572"	"unknown"
"satellite cells"	"muscle cell"
"myotubes"	"muscle cell"
"germinotropic lymphoproliferative disorder"	"malignant cell"
"t cell lymphoma"	"malignant cell"
"cl:0000957"	"unknown"
"follicular lymphoma"	"malignant cell"
"mantle cell lymphoma"	"malignant cell"
"diffuse large b cell lymphoma"	"malignant cell"
"burkitt lymphoma"	"malignant cell"
"colon cancer stem cell"	"malignant cell"
"colon cancer epithelial cell"	"malignant cell"
"colon cancer fibroblast"	"stromal cell"
"colon cancer macrophage"	"immune cell"
"colon cancer t cell"	"immune cell"
"colon cancer b cell"	"immune cell"
"colon cancer basophil"	"immune cell"
"rpe cells"	"epithelial cell"
"pre b cell"	"B cell"
"cl:2000046"	"unknown"
"renal proximal convoluted tubule cells"	"epithelial cell"
"lamina propria dendritic cell"	"dendritic cell"
"clara cells"	"epithelial cell"
"skeletal muscle satellite cell"	"muscle cell"
"t"	"t/nk cell"
"ileal absorptive cell"	"epithelial cell"
"pancreatic pp cell"	"endocrine cell"
"lung bud cell"	"epithelial cell"
"pancreatic islet cell"	"endocrine cell"
"pancreatic progenitor cell"	"progenitor cell"
"parietal cell"	"epithelial cell"
"leydig cell"	"endocrine cell"
"arterial endothelial cells"	"endothelial cell"
"capillary endothelial cells"	"endothelial cell"
"pancreatic polypeptide cells"	"endocrine cell"
"immature b cell"	"B cell"
"proximal convoluted tubule cell"	"epithelial cell"
"macula densa cell"	"epithelial cell"
"pro-b cell"	"B cell"
"immature myeloid"	"myeloid cell"
"pancreatic acinar"	"epithelial cell"
"mucous"	"epithelial cell"
"ribocyte"	"epithelial cell"
"mammary epithelial cell"	"epithelial cell"
"immature neutrophil"	"myeloid cell"
"spermatogonium"	"germ cell"
"immature granulocyte"	"myeloid cell"
"gastric epithelial cell"	"epithelial cell"
"0.0800843477249145"	"unknown"
"principal cells"	"epithelial cell"
"cl:0000158"	"epithelial cell"
"pancreatic islet cells"	"epithelial cell"
"pituitary gland cells"	"epithelial cell"
"gastric gland cells"	"epithelial cell"
"type b intercalated cells"	"epithelial cell"
"spermatids"	"epithelial cell"
"esophageal basal cell"	"epithelial cell"
"esophageal suprabasal cell"	"epithelial cell"
"esophageal dendritic cell"	"dendritic cell"
"esophageal t cell"	"t/nk cell"
"esophageal mast cell"	"mast cell"
"esophageal smooth muscle cell"	"muscle cell"
"esophageal fibroblast"	"fibroblast"
"cl:0002236"	"unknown"
"cl:0000097"	"unknown"
"0.0495829433202744"	"unknown"
"cl:4052008"	"unknown"
"alveolar type 1 cell"	"epithelial cell"
"cancer-associated fibroblast"	"fibroblast"
"mature b cell"	"B cell"
"cl:0000785"	"unknown"
"kidney cell"	"epithelial cell"
"müller cell"	"glial cell"
"tissue-resident macrophage"	"macrophage"
"cl:0000115"	"unknown"
"liver dendritic cell"	"dendritic cell"
"liver macrophage"	"macrophage"
"alveolar type 2 cell"	"epithelial cell"
"pulmonary capillary endothelial cell"	"endothelial cell"
"immature myeloid cell"	"myeloid cell"
"salivary gland acinar cell"	"epithelial cell"
"ductal epithelial cell"	"epithelial cell"
"naive cd4+ t cell"	"t/nk cell"
"naive cd8+ t cell"	"t/nk cell"
"monocyte - like cell"	"myeloid cell"
"cytotoxic t cells/nk cells"	"t/nk cell"
"proliferating t cells"	"t/nk cell"
"hematopoietic stem/progenitor cells"	"stem/progenitor cell"
"l5/6 it neuron"	"neuronal cell"
"parvalbumin - expressing neuron"	"neuronal cell"
"somatostatin - expressing neuron"	"neuronal cell"
"neuropeptide y - expressing neuron"	"neuronal cell"
"vasoactive intestinal peptide - expressing neuron"	"neuronal cell"
"neural crest cell"	"stem/progenitor cell"
"delta cell"	"endocrine cell"
"duct cell"	"epithelial cell"
"acinar cell"	"epithelial cell"
"beta cell"	"endocrine cell"
"alpha cell"	"endocrine cell"
"alveolar epithelial type ii cell"	"epithelial cell"
"nephrogenic mesenchyme cell"	"mesenchymal cell"
"renal proximal tubule cell"	"epithelial cell"
"gastric gland cell"	"epithelial cell"
"synovial cell"	"connective tissue cell"
"syncytiotrophoblast cell"	"placental cell"
"erythroid cells"	"erythroid cell"
"memory b cells"	"B cell"
"naive b cells"	"B cell"
"effector t cells"	"T/NK cell"
"nk t cells"	"T/NK cell"
"plasma cells"	"B cell"
"platelets"	"blood cell"
"pro - b cells"	"B cell"
"stromal cells"	"connective tissue cell"
"proliferating t cells"	"T/NK cell"
"cytotoxic t cells/natural killer cells"	"T/NK cell"
"pre - b cells"	"B cell"
"antigen - presenting cell (likely dendritic cell)"	"myeloid cell"
"myeloid cell (possibly monocyte or neutrophil)"	"myeloid cell"
"adrenal cortical cell"	"epithelial cell"
"immune cell (possibly activated immune cell)"	"immune cell"
"mesenchymal cell"	"mesenchymal cell"
"neuronal cell"	"neuronal cell"
"glandular epithelial cell"	"epithelial cell"
"hepatic cell"	"hepatic cell"
"antigen - presenting cell (apc)"	"myeloid cell"
"erythroid cell"	"erythroid cell"
"sperm cell"	"germ cell"
"pancreas acinar cell"	"epithelial cell"
"erythrocyte progenitor"	"erythroid cell"
"gastric gland cell"	"epithelial cell"
"mammary gland cell"	"epithelial cell"
"mesenchymal stem cell"	"mesenchymal cell"
"endocrine cell"	"endocrine cell"
"trophoblast cell"	"trophoblast"
"immune cells (possibly lymphocytes)"	"immune cell"
"enterochromaffin - like cell"	"enteroendocrine cell"
"alveolar type 1 cell"	"epithelial cell"
"alveolar type 2 cell"	"epithelial cell"
"vascular endothelial cell"	"endothelial cell"
"gamma-delta t cell"	"t/nk cell"
"blood endothelial cells"	"endothelial cell"
"helper t cell"	"t/nk cell"
"photoreceptor cells"	"neuronal cell"
"retinal pigment epithelium cells"	"epithelial cell"
"adipose stromal cells"	"stromal cell"
"endothelial cells"	"endothelial cell"
"smooth muscle cells"	"muscle cell"
"antigen - presenting cell"	"antigen presenting cell"
"antigen - presenting cells (likely dendritic cells or macrophages)"	"antigen presenting cell"
"myeloid cells (possibly monocytes or neutrophils)"	"myeloid cell"
"lymphatic endothelial cells"	"endothelial cell"
"club cells"	"epithelial cell"
"myoepithelial cells"	"epithelial cell"
"luminal epithelial cells"	"epithelial cell"
"basal epithelial cells"	"epithelial cell"
"gastrin - producing cell"	"endocrine cell"
"basal cells"	"epithelial cell"
"secretory epithelial cells"	"epithelial cell"
"erythrocytes"	"erythroid cell"
"cd4+ t cells (cytotoxic)"	"t/nk cell"
"naive cd4+ t cells"	"t/nk cell"
"effector cd4+ t cells"	"t/nk cell"
"regulatory cd4+ t cells"	"t/nk cell"
"naive cd8+ t cells"	"t/nk cell"
"proliferating cd8+ t cells"	"t/nk cell"
"cytotoxic cd8+ t cells"	"t/nk cell"
"conventional dendritic cells"	"myeloid cell"
"nk cells or γδ t cells"	"t/nk cell"
"proliferating γδ t cells"	"t/nk cell"
"γδ t cells or nk cells"	"t/nk cell"
"hematopoietic stem and progenitor cells"	"stem cell"
"nk cells or t cells"	"t/nk cell"
"γδ t cells"	"t/nk cell"
"astrocytes"	"t/nk cell"
"neurons (cortical layer 2/3 neurons)"	"glial cell"
"neurons (layer 4 neurons)"	"neuronal cell"
"neurons (inhibitory neurons, lamp5+)"	"neuronal cell"
"oligodendrocyte precursor cells"	"glial cell"
"neurons (pvalb+ interneurons)"	"neuronal cell"
"neurons (sst+ interneurons)"	"neuronal cell"
"neurons (npy+ interneurons)"	"neuronal cell"
"neurons (vip+ interneurons)"	"neuronal cell"
"schwann cells"	"glial cell"
"somatostatin cells"	"neuronal cell"
"renal progenitor cell"	"progenitor cell"
"ciliated epithelial cell"	"epithelial cell"
