"id"	"dataset"	"tissue"	"marker"	"manual_anno"	"manual_broadtype"	"old_manual_CLname"	"old_manual_CLID"	"marker_0"	"celltype_0_anno"	"celltype_0_CLID"	"celltype_0_CLname"	"marker_0.2"	"celltype_0.2_anno"	"celltype_0.2_CLID"	"celltype_0.2_CLname"	"marker_0.4"	"celltype_0.4_anno"	"celltype_0.4_CLID"	"celltype_0.4_CLname"	"marker_0.6"	"celltype_0.6_anno"	"celltype_0.6_CLID"	"celltype_0.6_CLname"	"marker_0.8"	"celltype_0.8_anno"	"celltype_0.8_CLID"	"celltype_0.8_CLname"	"celltype_0_broadtype"	"celltype_0_score"	"celltype_0.2_broadtype"	"celltype_0.2_score"	"celltype_0.4_broadtype"	"celltype_0.4_score"	"celltype_0.6_broadtype"	"celltype_0.6_score"	"celltype_0.8_broadtype"	"celltype_0.8_score"	"marker_1"	"celltype_1_anno"	"celltype_1_CLID"	"celltype_1_CLname"	"celltype_1_broadtype"	"celltype_1_score"
554	"literature"	"Breast"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC"	"Mast Cell"	"Immune cell"	"mast cell"	"CL:0000097"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000302985"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000213365,PRDM14"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000296569,ATP6V0B,ENSG00000301122,ENSG00000284746"	"Mast cells"	"CL:0000485"	"mucosal type mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,GEMIN8P4,SNORD38B,TFAM,RNU1-28P,RPS18P1"	"Mast cells"	"CL:0000485"	"mucosal type mast cell"	"mast cell → immune cell"	1	"mast cell → immune cell"	1	"mast cell → immune cell"	1	"myeloid cell"	1	"myeloid cell"	1	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,GAPDHP57,ENSG00000295945,ENSG00000258691,SPATA19,ENSG00000310421,DAPK1"	"Mast cell"	"CL:0000097"	"mast cell"	"mast cell → immune cell"	1
555	"literature"	"Breast"	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11"	"Myoepithelial (Basal)"	"epithelial cell"	"myoepithelial cell"	"CL:0000185"	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11"	"Myoepithelial cell"	"CL:0000185"	"myoepithelial cell"	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11,HAGLROS,ENSG00000296000"	"Myoepithelial cell"	"CL:0000185"	"myoepithelial cell"	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11,ENSG00000250681,ENSG00000259276,ENSG00000293367"	"Myoepithelial cell"	"CL:0000185"	"myoepithelial cell"	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11,RNU1-36P,DNPEP-AS1,NUDCD2,ENSG00000303712,ENSG00000307828"	"Myoepithelial cells"	"CL:0000185"	"myoepithelial cell"	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11,ENSG00000260672,ENSG00000308318,RFK,ENSG00000298707,ENSG00000296465,ENSG00000236495"	"Myoepithelial cells"	"CL:0000185"	"myoepithelial cell"	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"ACTA2, KRT14, KRT17, KRT5, MME, TP63, CALD1, MYH11,IGKV2D-26,RNU6-204P,BCAP31P2,POU2F1,ENSG00000302046,ENSG00000249976,EFL1P1,ENSG00000219088"	"Myoepithelial cell"	"CL:0000185"	"myoepithelial cell"	"epithelial cell"	1
556	"literature"	"Breast"	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4"	"Pericyte"	"Stromal cell"	"pericyte"	"CL:0000669"	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4"	"Pericyte"	"CL:0000669"	"pericyte"	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4,TTTY4,ENSG00000303782"	"Pericyte"	"CL:0000669"	"pericyte"	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4,ATG4B,ENSG00000305832,LINC03114"	"Pericyte"	"CL:0000669"	"pericyte"	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4,ENSG00000289534,ENSG00000294572,MSH3,ENSG00000297649,ENSG00000262067"	"Pericytes"	"CL:0008034"	"mural cell"	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4,ENSG00000300271,ENSG00000296341,ENSG00000309107,ENSG00000261532,ENSG00000296926,CEBPE"	"Pericytes"	"CL:0008034"	"mural cell"	"pericyte → connective tissue cell"	1	"pericyte → connective tissue cell"	1	"pericyte → connective tissue cell"	1	"stromal cell"	1	"stromal cell"	1	"ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4,ENSG00000266379,ENSG00000279844,ENSG00000274299,RPL39P6,NLGN1-AS1,MSTN,SPG21,ENSG00000307395"	"Pericyte"	"CL:0000669"	"pericyte"	"pericyte → connective tissue cell"	1
557	"literature"	"Breast"	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES"	"Smooth Muscle"	"Muscle cell"	"smooth muscle cell"	"CL:0000192"	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES,ENSG00000302229,FAM87A,ENSG00000299592"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES,NANOGP8,ENSG00000301170,ENSG00000250575,ENSG00000254824,NFIB-AS1,ENSG00000290556"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES,ENSG00000237527,ENSG00000278026,YWHAEP2,ENSG00000244000,ENSG00000287237,EFCAB7,CYB5D1,LINC01556,COX7A2P1"	"Smooth muscle cells"	"CL:0000192"	"smooth muscle cell"	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES,ENSG00000232978,OR8B2,OGFOD1P1,ENSG00000290490,MTCO3P45,ENSG00000259701,ENSG00000257616,C9orf40,ENSG00000285571,ENSG00000188365,GNB4,ENSG00000247903"	"Smooth muscle cells"	"CL:0000192"	"smooth muscle cell"	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"muscle cell"	1	"CALD1, ACTA2, TAGLN, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES,Y_RNA,SUN2,ZC3H15,ENSG00000258594,ENSG00000300395,RNU2-59P,RCC2P1,ENSG00000221398,ENSG00000278902,ENSG00000308204,ENSG00000294833,SNORA33,ENSG00000295240,FAM135B,LINC01355"	"Smooth muscle cell"	"CL:0000192"	"smooth muscle cell"	"muscle cell"	1
558	"literature"	"Breast"	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1"	"T cell"	"lymphoid cell"	"T cell"	"CL:0000084"	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1"	"T cell"	"CL:0000084"	"T cell"	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1,MORC3,KIAA0408,ENSG00000201407"	"T cell"	"CL:0000084"	"T cell"	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1,ENSG00000310174,RN7SKP291,OR14A16,CIDECP1,ENSG00000286404"	"T cell"	"CL:0000084"	"T cell"	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1,ENSG00000295729,ENSG00000309810,ENSG00000288915,ENSG00000256146,RNU6-851P,DENND10,ENSG00000288886,ENSG00000279138"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1,ENSG00000286009,ENSG00000293723,ENSG00000249041,COX6CP12,DACH1,ENSG00000298309,FBXW10B,KIAA0825,ENSG00000305285,FAM181A"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1,SNRPA1P2,FAM72B,ENSG00000308859,ENSG00000236449,HSPE1P23,ENSG00000284823,HINFP,CBX1P2,ENSG00000259744,GLIS2,MYOCD,MEF2C,ENSG00000267379"	"T cell"	"CL:0000084"	"T cell"	"t/nk cell"	1
559	"literature"	"Breast"	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5"	"Vascular Endothelial"	"Endothelial cell"	"endothelial cell of vascular tree"	"CL:0002139"	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5"	"Vascular endothelial cell"	"CL:0002139"	"endothelial cell of vascular tree"	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5,ENSG00000288542,ENSG00000296386,F2RL2"	"Vascular endothelial cell"	"CL:0002139"	"endothelial cell of vascular tree"	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5,FAM242E,ENSG00000293085,USP17L3,ENSG00000233962,RPL5P33,ENSG00000291037"	"Vascular endothelial cell"	"CL:0002139"	"endothelial cell of vascular tree"	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5,ENSG00000288605,H2BC9,RNU1-31P,ENSG00000226681,RNA5SP477,STEAP2,ENSG00000285895,ENSG00000310133"	"Vascular endothelial cells"	"CL:0002139"	"endothelial cell of vascular tree"	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5,ENSG00000304557,SERINC4,ENSG00000297958,MIR6801,ENSG00000295057,ANKRD49,ENSG00000289685,PRSS1,PYURF,HNRNPA1P33,IGKV1D-27"	"Vascular endothelial cells"	"CL:0002139"	"endothelial cell of vascular tree"	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"LDB2, EGFL7, PECAM1, CDH5, VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5,HOXC13,ENSG00000290964,UBE2CP5,CILP2,ENSG00000256810,DCTN6,ENSG00000308933,ENSG00000258850,ENSG00000212458,RNU1-91P,SHC1,ENSG00000295171,MTCH1,ENSG00000272625"	"Vascular endothelial cell"	"CL:0002139"	"endothelial cell of vascular tree"	"endothelial cell"	1
560	"literature"	"Esophagus"	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG"	"Adipocyte"	"Stromal cell"	"fat cell"	"CL:0000136"	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG"	"Adipocyte"	"CL:0000136"	"adipocyte"	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG,LINC00222"	"Adipocyte"	"CL:0000136"	"adipocyte"	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG,ENSG00000286159,ENSG00000309419,ENSG00000301722"	"Adipocyte"	"CL:0000136"	"adipocyte"	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG,FAM88E,ENSG00000282668,ENSG00000295052,ENSG00000304445"	"Adipocyte"	"CL:0000136"	"adipocyte"	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG,NPM1P31,ENSG00000303755,ENSG00000296278,ENSG00000307919,ENSG00000258140,ENSG00000280254"	"Adipocyte"	"CL:0000136"	"adipocyte"	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"stromal cell"	1	"ADIPOQ, EBF1, PLIN1, PLIN2, LPIN1, FOXO1, PPARG,FAM174C,ENSG00000219604,TGM3,SPICP5,SNX10-AS1,MIR616,ENSG00000298317"	"Adipocyte"	"CL:0000136"	"adipocyte"	"stromal cell"	1
561	"literature"	"Esophagus"	"CR2, CD24, FAS, CXCR3, CD1c"	"B cell_memory"	"B cell"	"memory B cell"	"CL:0000787"	"CR2, CD24, FAS, CXCR3, CD1c"	"B cell"	"CL:0000236"	"B cell"	"CR2, CD24, FAS, CXCR3, CD1c,DHX33-DT"	"B cell"	"CL:0000236"	"B cell"	"CR2, CD24, FAS, CXCR3, CD1c,Y_RNA,FIG4"	"B cell"	"CL:0000236"	"B cell"	"CR2, CD24, FAS, CXCR3, CD1c,KRTAP5-13P,ENSG00000228172,ENSG00000295792"	"B cell"	"CL:0000236"	"B cell"	"CR2, CD24, FAS, CXCR3, CD1c,GPIHBP1,ENSG00000277040,ENSG00000271657,C1QTNF6"	"B cell"	"CL:0000236"	"B cell"	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"CR2, CD24, FAS, CXCR3, CD1c,LINC00373,NKX2-5,ENSG00000300024,ENSG00000302012,LCE2C"	"B cell"	"CL:0000236"	"B cell"	"B cell"	1
562	"literature"	"Esophagus"	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3"	"Basal Epithelia"	"epithelial cell"	"basal cell"	"CL:0000646"	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3"	"Basal epithelial cell"	"CL:0002236"	"basal epithelial cell of prostatic duct"	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3,ENSG00000226113,ENSG00000280384"	"Basal epithelial cell"	"CL:0002236"	"basal epithelial cell of prostatic duct"	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3,ENSG00000305872,ENSG00000279597,ENSG00000300564,ENSG00000297031"	"Basal epithelial cell"	"CL:0002236"	"basal epithelial cell of prostatic duct"	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3,SNORA26,SNORA50B,ENSG00000296010,SNORD105,RN7SKP221"	"Basal epithelial cell"	"CL:0002236"	"basal epithelial cell of prostatic duct"	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3,SFTPD-AS1,ENSG00000308058,ENSG00000279489,B4GALT1-AS1,ENSG00000231139,FPASL,IGLV3-7"	"Basal epithelial cell"	"CL:0002236"	"basal epithelial cell of prostatic duct"	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"epithelial cell"	1	"TP63, KRT15, KRT14, KRT5, DSG3, FOXP1, S100A2, TP53, LAMA3,ENSG00000267506,ENSG00000258235,ENSG00000226204,ENSG00000304185,DCHS1,NR2C2,RPL21P127,LINC01854,ENSG00000234175"	"Basal epithelial cell"	"CL:0002236"	"basal epithelial cell of prostatic duct"	"epithelial cell"	1
563	"literature"	"Esophagus"	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1"	"Fibroblast"	"Stromal cell"	"fibroblast"	"CL:0000057"	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1"	"Fibroblast"	"CL:0000057"	"fibroblast"	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1,TMED6,ENSG00000293171,ENSG00000307884"	"Fibroblast"	"CL:0000057"	"fibroblast"	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1,ENSG00000258761,MATCAP1,MIR4753,ENSG00000288208,SLC17A1,OXER1"	"Fibroblast"	"CL:0000057"	"fibroblast"	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1,ENSG00000218520,GTSCR1,RNF113A,ENSG00000308929,JAK1,LINC01480,HTR2A-AS1,LSM1,GOLPH3L"	"Fibroblast"	"CL:0000057"	"fibroblast"	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1,ENSG00000307457,ENSG00000305403,GPR37L1,LHFPL4,ENSG00000309310,ENSG00000294367,ADCYAP1R1,ENSG00000276828,PDZD4,GRIPAP1,TRPV4,ENSG00000279774"	"Fibroblast"	"CL:0000057"	"fibroblast"	"fibroblast → connective tissue cell"	1	"fibroblast → connective tissue cell"	1	"fibroblast → connective tissue cell"	1	"fibroblast → connective tissue cell"	1	"fibroblast → connective tissue cell"	1	"COL6A3, COL6A1, NEGR1, DCN, COL1A1, FN1, S100A4, COL1A2, COL6A6, DDR2, COL5A2, COL6A3, COL6A2, FBLN1, FBN1,ENSG00000297947,RPL13AP18,ENSG00000266102,ENSG00000295342,LINC00927,ENSG00000272892,ENSG00000298775,Y_RNA,COL13A1,ENSG00000260590,ENSG00000298540,ENSG00000302727,ST3GAL1,ENSG00000232208,ENSG00000280219"	"Fibroblast"	"CL:0000057"	"fibroblast"	"fibroblast → connective tissue cell"	1
564	"literature"	"Esophagus"	"KIT, ANO1, PRKCQ, EDN3, ETV1"	"Interstitial Cell of Cajal (ICC)"	"stromal cell"	"interstitial cell of Cajal"	"CL:0002088"	"KIT, ANO1, PRKCQ, EDN3, ETV1"	"Interstitial cell of Cajal"	"CL:0002088"	"interstitial cell of Cajal"	"KIT, ANO1, PRKCQ, EDN3, ETV1,PROX1-AS1"	"Interstitial cell of Cajal"	"CL:0002088"	"interstitial cell of Cajal"	"KIT, ANO1, PRKCQ, EDN3, ETV1,ENSG00000303504,ENSG00000296330"	"Interstitial cell of Cajal"	"CL:0002088"	"interstitial cell of Cajal"	"KIT, ANO1, PRKCQ, EDN3, ETV1,LONRF2P1,ENSG00000228572,ENSG00000289695"	"Interstitial cell of Cajal"	"CL:0002088"	"interstitial cell of Cajal"	"KIT, ANO1, PRKCQ, EDN3, ETV1,MIR6789,ZNF711,ENSG00000304849,MSANTD5"	"Interstitial cell of Cajal"	"CL:0002088"	"interstitial cell of Cajal"	"interstitial cell"	1	"interstitial cell"	1	"interstitial cell"	1	"interstitial cell"	1	"interstitial cell"	1	"KIT, ANO1, PRKCQ, EDN3, ETV1,ENSG00000301627,ENSG00000299151,RARRES2P5,Y_RNA,ENSG00000297914"	"Interstitial cell of Cajal"	"CL:0002088"	"interstitial cell of Cajal"	"interstitial cell"	1
565	"literature"	"Esophagus"	"FLT4, MMRN1, CCL21, PROX1, LYVE1"	"Lymphatic Endothelial"	"Endothelial cell"	"endothelial cell of lymphatic vessel"	"CL:0002138"	"FLT4, MMRN1, CCL21, PROX1, LYVE1"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"FLT4, MMRN1, CCL21, PROX1, LYVE1,CFH"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"FLT4, MMRN1, CCL21, PROX1, LYVE1,ENSG00000302041,RPL7AP77"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"FLT4, MMRN1, CCL21, PROX1, LYVE1,LINC01020,PHACTR2,ENSG00000277373"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"FLT4, MMRN1, CCL21, PROX1, LYVE1,LENG8-AS1,LINC00571,ENSG00000276514,MTCO1P30"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"endothelial cell"	1	"FLT4, MMRN1, CCL21, PROX1, LYVE1,ENSG00000301159,FRG1JP,NLRP2B,RPL31P30,MIR7109"	"Lymphatic endothelial cell"	"CL:0002138"	"endothelial cell of lymphatic vessel"	"endothelial cell"	1
566	"literature"	"Esophagus"	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68"	"Macrophage"	"Myeloid cell"	"macrophage"	"CL:0000235"	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68"	"Macrophage"	"CL:0000235"	"macrophage"	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68,SLC9B1P2,RPL7AP71,ENSG00000299150,MIR423"	"Macrophage"	"CL:0000235"	"macrophage"	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68,SPNS3,ELMO1-AS1,ARIH2,ENSG00000304401,CDCA7,HSFY7P,VN1R35P,ENSG00000293941"	"Macrophage"	"CL:0000235"	"macrophage"	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68,ENSG00000254938,MIR6743,FAM86GP,ENSG00000276951,ENSG00000287864,TCHHL1,ENSG00000228132,SAMD4A,LPGAT1-AS1,RPS4Y1,ADGRG4"	"Macrophage"	"CL:0000235"	"macrophage"	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68,ENSG00000230704,OSBPL9P3,HIGD1AP8,ENSG00000259371,ENSG00000226438,ENSG00000285708,GDI2,ENSG00000293306,SNORD114-15,UBQLN4P2,ENSG00000305887,ENSG00000294045,ENSG00000278291,ENSG00000288780,ENSG00000274340"	"Macrophage"	"CL:0000235"	"macrophage"	"macrophage"	1	"macrophage"	1	"macrophage"	1	"macrophage"	1	"macrophage"	1	"MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68,MIR501,ENSG00000303408,ENSG00000303445,ENSG00000307883,ERG,LINC00572,MMGT1,RNA5SP91,FBXO38-DT,ENSG00000298369,ASMT,BCDIN3D,MIR1276,RNA5SP248,ILRUN,ENSG00000303563,ENSG00000263311,ENSG00000255174,ENSG00000261687"	"Macrophage"	"CL:0000235"	"macrophage"	"macrophage"	1
567	"literature"	"Esophagus"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC"	"Mast Cell"	"Immune cell"	"mast cell"	"CL:0000097"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000307759"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000260997,ENSG00000296250"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000232140,ENSG00000296839,RNY4P10,ENSG00000309172"	"Mast cell"	"CL:0000097"	"mast cell"	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000298589,TBC1D3P4,RBM22,TMEM276-ZFTRAF1,ENSG00000259632"	"Mast cell"	"CL:0000097"	"mast cell"	"mast cell → immune cell"	1	"mast cell → immune cell"	1	"mast cell → immune cell"	1	"mast cell → immune cell"	1	"mast cell → immune cell"	1	"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC,ENSG00000261996,ENSG00000233783,RPL23AP70,LYPLAL1-DT,ENSG00000303135,FAM246A"	"Mast cell"	"CL:0000097"	"mast cell"	"mast cell → immune cell"	1
